order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_id,add_to_cart_order,reordered,product_name,aisle_id,department_id,department,aisle
7492434,112108,train,4,4,10,9,11109,2,1,Organic 4% Milk Fat Whole Milk Cottage Cheese,108,16,dairy eggs,other creams cheeses
20184005,112108,train,4,4,10,9,10246,3,0,Organic Celery Hearts,83,4,produce,fresh vegetables
12430812,112108,train,4,4,10,9,13176,6,0,Bag of Organic Bananas,24,4,produce,fresh fruits
13773090,112108,train,4,4,10,9,47209,7,0,Organic Hass Avocado,24,4,produce,fresh fruits
30691720,112108,train,4,4,10,9,43633,5,1,Lightly Smoked Sardines in Olive Oil,95,15,canned goods,canned meat seafood
3586375,112108,train,4,4,10,9,22035,8,1,Organic Whole String Cheese,21,16,dairy eggs,packaged cheese
17907118,112108,train,4,4,10,9,49683,4,0,Cucumber Kirby,83,4,produce,fresh vegetables
6300790,112108,train,4,4,10,9,49302,1,1,Bulgarian Yogurt,120,16,dairy eggs,yogurt
22887570,202279,prior,3,5,9,8,1819,8,1,All Natural No Stir Creamy Almond Butter,88,13,pantry,spreads
7960605,202279,prior,3,5,9,8,33120,1,1,Organic Egg Whites,86,16,dairy eggs,eggs
